date,year,month,day,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,GWETROOT,GWETTOP,PRECTOTCORR,PS,QV2M,RH2M,T2M,T2M_MAX,T2M_MIN,T2M_RANGE,WD10M,WS10M,WS2M,insee_dep,department
2000-01-01,2000,1,1,2.61,5.3,0.63,0.65,0.62,101.22,5.96,98.78,6.36,8.96,4.94,4.02,264.4,2.58,1.53,78,Yvelines
2000-01-02,2000,1,2,2.9,4.93,0.62,0.64,0.37,101.45,5.7,98.15,6.11,7.66,5.08,2.58,201.2,3.52,2.37,78,Yvelines
2000-01-03,2000,1,3,2.64,5.14,0.61,0.63,0.32,101.13,5.35,93.98,5.79,7.38,4.67,2.71,204.4,6.23,4.33,78,Yvelines
2000-01-04,2000,1,4,1.66,5.42,0.62,0.65,4.56,100.5,5.88,96.55,6.57,9.7,3.98,5.72,222.0,6.63,4.53,78,Yvelines
2000-01-05,2000,1,5,3.3,5.13,0.61,0.64,0.26,100.6,5.44,97.01,5.36,8.78,3.39,5.39,198.4,4.35,2.95,78,Yvelines
2000-01-06,2000,1,6,2.52,5.14,0.61,0.64,2.14,100.46,5.58,96.8,5.69,8.25,3.9,4.35,208.4,4.87,3.32,78,Yvelines
2000-01-07,2000,1,7,3.14,5.46,0.61,0.63,0.67,100.92,4.83,96.52,3.92,4.59,3.05,1.54,210.7,4.65,3.29,78,Yvelines
2000-01-08,2000,1,8,2.05,5.47,0.61,0.64,2.65,100.59,5.71,98.36,5.83,8.58,2.62,5.96,224.0,3.97,2.57,78,Yvelines
2000-01-09,2000,1,9,4.34,5.49,0.61,0.63,0.19,101.29,4.45,96.06,2.43,5.47,-1.48,6.95,347.9,3.39,2.05,78,Yvelines
2000-01-10,2000,1,10,5.46,5.63,0.61,0.63,0.16,102.21,3.57,93.15,0.3,4.05,-2.57,6.62,25.1,1.51,1.04,78,Yvelines
2000-01-11,2000,1,11,3.04,5.48,0.61,0.63,0.06,102.36,3.13,95.25,-1.77,2.39,-4.15,6.54,203.7,2.73,1.84,78,Yvelines
2000-01-12,2000,1,12,2.59,5.93,0.61,0.63,0.1,101.57,3.03,91.04,-1.38,1.92,-3.85,5.77,191.4,3.92,2.76,78,Yvelines
2000-01-13,2000,1,13,1.64,5.98,0.6,0.63,1.99,100.38,3.35,95.2,-0.93,0.59,-2.87,3.46,195.5,4.12,2.8,78,Yvelines
2000-01-14,2000,1,14,2.5,6.07,0.61,0.63,0.96,100.65,3.9,97.24,0.7,3.51,-0.63,4.14,43.8,2.37,1.47,78,Yvelines
2000-01-15,2000,1,15,6.37,6.08,0.61,0.63,0.11,101.81,3.68,95.21,0.49,4.17,-1.73,5.9,39.8,5.11,3.56,78,Yvelines
2000-01-16,2000,1,16,3.84,6.06,0.61,0.63,0.1,102.28,3.75,95.57,0.59,3.91,-2.45,6.36,34.6,4.35,3.0,78,Yvelines
2000-01-17,2000,1,17,6.51,6.43,0.61,0.63,0.12,102.15,4.55,94.44,3.48,7.97,1.19,6.78,336.3,4.1,2.82,78,Yvelines
2000-01-18,2000,1,18,6.68,6.51,0.61,0.63,0.46,101.74,5.11,95.03,5.06,6.66,3.53,3.13,347.3,5.53,3.82,78,Yvelines
2000-01-19,2000,1,19,6.03,6.76,0.61,0.63,0.33,101.92,4.4,92.15,3.45,6.15,0.91,5.24,16.4,4.47,3.01,78,Yvelines
2000-01-20,2000,1,20,4.38,6.39,0.6,0.62,0.16,101.98,3.95,91.01,2.02,5.77,0.25,5.52,327.8,2.47,1.62,78,Yvelines
2000-01-21,2000,1,21,3.72,6.23,0.6,0.62,0.21,101.69,4.36,94.3,2.59,7.07,-0.21,7.28,334.8,3.59,2.24,78,Yvelines
2000-01-22,2000,1,22,2.37,6.92,0.61,0.64,3.17,100.49,4.57,94.9,3.24,5.84,1.83,4.01,309.4,6.92,4.79,78,Yvelines
2000-01-23,2000,1,23,3.03,7.2,0.61,0.63,0.87,100.62,4.22,93.32,2.47,5.4,0.13,5.27,338.1,5.98,4.14,78,Yvelines
2000-01-24,2000,1,24,5.75,6.89,0.61,0.63,0.06,100.96,2.79,84.41,-1.54,2.45,-5.52,7.97,55.6,2.72,1.68,78,Yvelines
2000-01-25,2000,1,25,7.08,6.98,0.61,0.63,0.01,101.47,2.16,77.83,-3.21,1.66,-5.7,7.36,86.0,2.85,1.72,78,Yvelines
2000-01-26,2000,1,26,7.11,7.13,0.6,0.62,0.0,101.89,2.11,76.74,-3.38,1.23,-7.23,8.46,113.7,2.64,1.57,78,Yvelines
2000-01-27,2000,1,27,7.18,7.21,0.6,0.62,0.0,101.63,2.36,88.64,-4.27,2.35,-8.72,11.07,203.5,2.35,1.28,78,Yvelines
2000-01-28,2000,1,28,5.69,7.45,0.6,0.62,0.07,100.71,3.69,94.23,-0.06,4.89,-5.47,10.36,231.4,5.49,3.62,78,Yvelines
2000-01-29,2000,1,29,2.24,7.71,0.61,0.64,2.93,99.68,5.96,95.77,6.8,8.87,3.36,5.51,246.4,11.04,7.72,78,Yvelines
2000-01-30,2000,1,30,3.54,7.62,0.61,0.63,0.95,100.62,6.66,92.15,9.21,10.94,7.58,3.36,261.6,9.04,6.31,78,Yvelines
2000-01-31,2000,1,31,2.82,7.81,0.61,0.63,0.18,101.23,6.09,91.96,8.01,10.5,6.24,4.26,242.3,5.71,3.93,78,Yvelines
2000-02-01,2000,2,1,4.39,8.13,0.61,0.63,0.26,100.66,5.55,95.37,5.93,8.67,3.59,5.08,215.2,4.56,3.13,78,Yvelines
2000-02-02,2000,2,2,3.67,8.07,0.61,0.64,3.26,100.75,5.08,94.16,4.55,8.7,0.18,8.52,290.3,4.44,2.93,78,Yvelines
2000-02-03,2000,2,3,4.21,8.21,0.61,0.63,0.27,102.15,4.74,93.84,3.36,8.37,-0.94,9.31,275.5,3.03,1.75,78,Yvelines
2000-02-04,2000,2,4,7.05,8.52,0.61,0.63,0.06,102.23,4.52,89.6,4.06,8.41,1.8,6.61,216.5,3.51,2.17,78,Yvelines
2000-02-05,2000,2,5,7.86,8.47,0.61,0.63,0.0,101.54,4.9,88.53,5.24,12.05,-0.14,12.19,189.1,3.56,2.25,78,Yvelines
2000-02-06,2000,2,6,2.29,9.06,0.61,0.63,1.1,100.81,5.69,96.04,6.27,8.56,3.73,4.83,216.7,5.65,3.99,78,Yvelines
2000-02-07,2000,2,7,2.53,9.17,0.61,0.64,2.68,100.42,5.9,90.98,7.51,9.64,4.61,5.03,236.7,7.99,5.6,78,Yvelines
2000-02-08,2000,2,8,2.65,9.14,0.62,0.65,5.47,99.99,6.35,87.62,8.99,12.68,5.91,6.77,255.7,9.23,6.44,78,Yvelines
2000-02-09,2000,2,9,7.75,8.8,0.62,0.63,0.23,101.26,4.61,81.19,5.99,9.95,2.72,7.23,276.1,6.57,4.51,78,Yvelines
